,0
0,DELV-12
1,VMPI_t24
2,vs0
3,IR00_v14
4,IR00_v13
5,DTL_t24
6,ENEG_t24
7,SHDC_t24
8,SHGC_t24
9,RSST_t24
10,ENSS_t24
11,IR00_v17
12,IR00_v3
13,TWXC_t24
14,SHRD_t24
15,CD20_t24
16,SHRG_t24
17,U20C_t24
18,V300_t24
19,EPSS_t24
20,CSST_t24
21,T150_t24
22,IR00_v7
23,CD26_t24
24,IR00_v15
25,CFLX_t24
26,IR00_v16
27,TWAC_t24
28,COHC_t24
29,VVAC_t24
30,IR00_v8
31,G150_t24
32,IR00_v18
33,TLAT_t24
34,IR00_v5
35,VVAV_t24
36,PSLV_v8
37,EPOS_t24
38,G200_t24
39,IR00_v9
40,PSLV_v6
41,V500_t24
42,MTPW_v15
43,MTPW_v18
44,U200_t24
45,VMFX_t24
46,TLON_t24
47,T200_t24
48,PSLV_v19
49,PSLV_v4
50,REFC_t24
51,MTPW_v10
52,E000_t24
53,IR00_v4
54,T000_t24
55,PEFC_t24
56,IR00_v19
57,IR00_v20
58,IR00_v6
59,RHLO_t24
